"x","msg_reg","cost_agg"
0,"AFR",503.834317814128
0.01,"AFR",503.834317814128
0.02,"AFR",506.700445371558
0.03,"AFR",506.700445371558
0.04,"AFR",539.66135523411
0.05,"AFR",541.129611476761
0.06,"AFR",573.666365365611
0.07,"AFR",584.408503596678
0.08,"AFR",628.196163026138
0.09,"AFR",642.466264575346
0.1,"AFR",651.023017054924
0.11,"AFR",670.321263411009
0.12,"AFR",680.858847490405
0.13,"AFR",689.840513926854
0.14,"AFR",708.394124694341
0.15,"AFR",723.383630911988
0.16,"AFR",736.135642723598
0.17,"AFR",750.945284429864
0.18,"AFR",772.149302938948
0.19,"AFR",785.112366061038
0.2,"AFR",795.337190839165
0.21,"AFR",808.134307838943
0.22,"AFR",830.261678643869
0.23,"AFR",845.197086207235
0.24,"AFR",870.77805872335
0.25,"AFR",881.447693392508
0.26,"AFR",897.25598082551
0.27,"AFR",921.953221286919
0.28,"AFR",940.679620336172
0.29,"AFR",986.525185044689
0.3,"AFR",1014.80835167268
0.31,"AFR",1079.69786881908
0.32,"AFR",1086.46609125476
0.33,"AFR",1122.15000923843
0.34,"AFR",1178.24504535895
0.35,"AFR",1200.55875226462
0.36,"AFR",1245.55217098685
0.37,"AFR",1288.858696366
0.38,"AFR",1330.97710778553
0.39,"AFR",1351.19341042421
0.4,"AFR",1378.13160350439
0.41,"AFR",1408.07659140882
0.42,"AFR",1442.0909376619
0.43,"AFR",1523.44024532121
0.44,"AFR",1545.90529382523
0.45,"AFR",1578.9147920039
0.46,"AFR",1637.26397325111
0.47,"AFR",1711.57547909594
0.48,"AFR",1776.30515286467
0.49,"AFR",1834.6132773367
0.5,"AFR",1898.31145725894
0.51,"AFR",1931.40052360901
0.52,"AFR",1984.91013849195
0.53,"AFR",2040.82620203979
0.54,"AFR",2090.6774291701
0.55,"AFR",2120.48589159371
0.56,"AFR",2186.19344277463
0.57,"AFR",2241.72033522818
0.58,"AFR",2348.35158486894
0.59,"AFR",2461.84866685879
0.6,"AFR",2544.81668046468
0.61,"AFR",2611.19179432234
0.62,"AFR",2752.77348366233
0.63,"AFR",2819.34253981138
0.64,"AFR",2872.30555829515
0.65,"AFR",2935.94212613059
0.66,"AFR",2992.4783380595
0.67,"AFR",3158.41223258585
0.68,"AFR",3219.76321786768
0.69,"AFR",3388.27460645534
0.7,"AFR",3522.1829476838
0.71,"AFR",3648.3951483467
0.72,"AFR",3822.38717628369
0.73,"AFR",4027.09473313878
0.74,"AFR",4192.25597441347
0.75,"AFR",4379.81364568877
0.76,"AFR",4494.51980040659
0.77,"AFR",4874.68451168631
0.78,"AFR",5200.22791721811
0.79,"AFR",5372.00981538766
0.8,"AFR",5500.9660132158
0.81,"AFR",5760.07871876564
0.82,"AFR",5962.77968855687
0.83,"AFR",6317.88628181534
0.84,"AFR",6541.42991186196
0.85,"AFR",6809.53375154207
0.86,"AFR",7403.91422049989
0.87,"AFR",7805.78123470923
0.88,"AFR",8428.58399810316
0.89,"AFR",8966.96842339961
0.9,"AFR",9631.3791936065
0.91,"AFR",10381.7490345448
0.92,"AFR",10878.7009603933
0.93,"AFR",11322.1342005806
0.94,"AFR",12347.1435373896
0.95,"AFR",13830.018021602
0.96,"AFR",15478.1936744566
0.97,"AFR",16904.8481124855
0.98,"AFR",19232.7256916196
0.99,"AFR",23472.1829336496
1,"AFR",23987.7237311148
0,"CPA",455.717223508955
0.01,"CPA",455.717223508955
0.02,"CPA",462.771546354084
0.03,"CPA",462.771546354084
0.04,"CPA",462.771546354084
0.05,"CPA",469.216721544062
0.06,"CPA",571.691077079848
0.07,"CPA",571.691077079848
0.08,"CPA",571.691077079848
0.09,"CPA",582.773634418714
0.1,"CPA",582.773634418714
0.11,"CPA",586.900118534249
0.12,"CPA",605.714921108653
0.13,"CPA",624.421649099078
0.14,"CPA",644.287722626725
0.15,"CPA",645.545317785745
0.16,"CPA",691.368941392544
0.17,"CPA",708.179451682259
0.18,"CPA",725.392785421348
0.19,"CPA",725.392785421348
0.2,"CPA",726.620905693829
0.21,"CPA",744.001263789975
0.22,"CPA",745.091834591938
0.23,"CPA",774.714401415604
0.24,"CPA",786.376744314731
0.25,"CPA",809.209956420691
0.26,"CPA",819.310017541572
0.27,"CPA",885.068489411276
0.28,"CPA",961.801444035868
0.29,"CPA",975.124092751738
0.3,"CPA",986.354024523302
0.31,"CPA",1067.42961243138
0.32,"CPA",1069.49285448915
0.33,"CPA",1080.10720559211
0.34,"CPA",1113.15943227852
0.35,"CPA",1140.37457751669
0.36,"CPA",1180.46042321046
0.37,"CPA",1201.68234151893
0.38,"CPA",1233.68877411191
0.39,"CPA",1320.73793902534
0.4,"CPA",1324.47142465368
0.41,"CPA",1395.99714932295
0.42,"CPA",1439.48199548087
